country,Indicator Name,region,year,ExportValueIndex
Turkmenistan,Export value index (2000 = 100),Central Asia,2008,119.4470000027
United Arab Emirates,Export value index (2000 = 100),West Asia,2008,79.6112136249
Uzbekistan,Export value index (2000 = 100),Central Asia,2008,109.0515774367
Vietnam,Export value index (2000 = 100),Southeast Asia,2008,38.6790076013
Yemen,Export value index (2000 = 100),West Asia,2008,1487.4306181167
Afghanistan,Export value index (2000 = 100),South Asia,2009,70.6050874643
Armenia,Export value index (2000 = 100),,2009,47.8142296823
Azerbaijan,Export value index (2000 = 100),,2009,127.1493403961
Bahrain,Export value index (2000 = 100),West Asia,2009,71.7856380114
Bangladesh,Export value index (2000 = 100),South Asia,2009,46.5825372845
Bhutan,Export value index (2000 = 100),South Asia,2009,90.2927047797
Brunei,Export value index (2000 = 100),,2009,113.3418243112
Cambodia,Export value index (2000 = 100),Southeast Asia,2009,49.1219481498
China,Export value index (2000 = 100),East Asia,2009,52.8537019192
Cyprus,Export value index (2000 = 100),,2009,38.1555141823
Georgia,Export value index (2000 = 100),,2009,51.4290899146
"Hong Kong, China",Export value index (2000 = 100),,2009,64.5310567038
India,Export value index (2000 = 100),South Asia,2009,61.5442674239
Indonesia,Export value index (2000 = 100),Southeast Asia,2009,79.569697026
"Iran, Islamic Rep.",Export value index (2000 = 100),,2009,112.1736036983
Iraq,Export value index (2000 = 100),West Asia,2009,72.8217312135
Israel,Export value index (2000 = 100),West Asia,2009,74.8242656
Japan,Export value index (2000 = 100),East Asia,2009,92.926689997
Jordan,Export value index (2000 = 100),West Asia,2009,81.3880414757
Kazakhstan,Export value index (2000 = 100),Central Asia,2009,93.9942694673
"Korea, Rep.",Export value index (2000 = 100),East Asia,2009,69.0135874239
Kuwait,Export value index (2000 = 100),West Asia,2009,99.7891448147
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2009,116.0677119199
Lao PDR,Export value index (2000 = 100),,2009,28.8144570449
Lebanon,Export value index (2000 = 100),West Asia,2009,105.1608166919
Malaysia,Export value index (2000 = 100),Southeast Asia,2009,78.6410851762
